,연번,등급분류번호,게임물명,신청사,신청일자,결정일자,결정등급,접수번호,등급분류기관
322,2,CC-NA-221103-002,파워 불새,(주)오뚜기소프트,2022-08-23,2022-11-03,청소년이용불가,DG-NA-22-00069,GRAC
323,3,CC-NA-221103-003,전설의 불새,(주)오뚜기소프트,2022-08-23,2022-11-03,청소년이용불가,DG-NA-22-00070,GRAC
324,4,CC-NA-221103-004,과일나라 플러스,아이앤유,2022-09-23,2022-11-03,전체이용가,DG-NA-22-00077,GRAC
325,5,CC-NA-221103-005,이집트(EGYPT),하모니,2022-09-26,2022-11-03,청소년이용불가,DG-NA-22-00078,GRAC
326,6,CC-NP-221103-001,Dead Space (데드 스페이스),일렉트로닉아츠코리아(유),2022-10-24,2022-11-03,청소년이용불가,DG-NP-22-00257,GRAC
327,7,CC-NP-221103-002,Call of Duty: Warzone 2.0 (콜 오브 듀티: 워존 2.0),블리자드엔터테인먼트 유한회사,2022-10-13,2022-11-03,청소년이용불가,DG-NP-22-00250,GRAC
328,8,CC-NP-221103-003,"Papers, Please (페이퍼즈, 플리즈)",바다게임즈,2022-10-17,2022-11-03,청소년이용불가,DG-NP-22-00253,GRAC
329,9,CC-NP-221103-004,림버스 컴퍼니,(주)프로젝트문,2022-10-17,2022-11-03,청소년이용불가,DG-NP-22-00254,GRAC
330,10,CC-NP-221103-005,The Callisto Protocol(칼리스토 프로토콜),(주)크래프톤,2022-10-24,2022-11-03,청소년이용불가,DG-NP-22-00258,GRAC
331,11,CC-NV-221103-001,크로스파이어X,(주)스마일게이트 엔터테인먼트,2022-10-27,2022-11-03,청소년이용불가,DG-NV-22-00032,GRAC
332,12,CC-NV-221103-002,Life is Strange 2 (라이프 이즈 스트레인지 2),반다이남코엔터테인먼트코리아 주식회사,2022-10-26,2022-11-03,청소년이용불가,DG-NV-22-00031,GRAC
333,13,CC-OM-221103-001,Netflix Twelve Minutes,Netflix Inc,2022-10-27,2022-11-03,청소년이용불가,DG-OM-22-00202,GRAC
334,14,CC-OM-221103-002,라이트닝 파이터 2,"Uwan Co., Ltd.",2022-10-28,2022-11-03,전체이용가,DG-OM-22-00203,GRAC
335,15,CC-OM-221103-003,천상비M,세시소프트,2022-10-12,2022-11-03,청소년이용불가,DG-OM-22-00184,GRAC
336,16,CC-OM-221103-004,Secret Crossing : 위험한 재배,주식회사 스토리타코,2022-10-12,2022-11-03,청소년이용불가,DG-OM-22-00183,GRAC
337,17,CC-OM-221103-005,피망 로우바둑이 : 카카오게임 대표 포커,주식회사 네오위즈,2022-10-18,2022-11-03,청소년이용불가,DG-OM-22-00190,GRAC
338,18,CC-OM-221103-006,피망 로우바둑이 : 카지노로얄,주식회사 네오위즈,2022-10-18,2022-11-03,청소년이용불가,DG-OM-22-00192,GRAC
339,19,CC-OM-221103-007,피망 하이로우 : 카카오게임 대표 포커,주식회사 네오위즈,2022-10-18,2022-11-03,청소년이용불가,DG-OM-22-00191,GRAC
340,20,CC-OM-221103-008,피망 하이로우 : 카지노로얄,주식회사 네오위즈,2022-10-18,2022-11-03,청소년이용불가,DG-OM-22-00193,GRAC
341,21,CC-OP-221103-001,트레인 킹,KAKU DIGITAL LIMITED,2022-10-18,2022-11-03,전체이용가,DG-OP-22-00042,GRAC
342,22,GC-CC-NP-221104-001,Minecraft Legends(마인크래프트 레전드),한국마이크로소프트(유),2022-10-13,2022-11-04,12세 이용가,GC-DG-NP-22-00287,GCRB
343,23,GC-CC-NP-221104-002,Suikoden I HD REMASTER (환상수호전 I HD 리마스터),(주)유니아나,2022-10-14,2022-11-04,12세 이용가,GC-DG-NP-22-00289,GCRB
344,24,GC-CC-NP-221104-003,Suikoden II HD REMASTER (환상수호전 II HD 리마스터),(주)유니아나,2022-10-14,2022-11-04,12세 이용가,GC-DG-NP-22-00290,GCRB
345,25,GC-CC-NP-221104-004,Suikoden I ＆ II HD REMASTER (환상수호전 I ＆ II HD 리마스터),(주)유니아나,2022-10-14,2022-11-04,12세 이용가,GC-DG-NP-22-00291,GCRB
346,26,GC-CC-NP-221104-005,Blood Bowl 3 (블러드 보울 3),(주) 에이치투인터렉티브,2022-10-17,2022-11-04,15세 이용가,GC-DG-NP-22-00293,GCRB
347,27,GC-CC-NP-221104-006,DIGIMON WORLD -next 0rder- (디지몬 월드 넥스트 오더),반다이남코 엔터테인먼트 코리아(주),2022-10-18,2022-11-04,12세 이용가,GC-DG-NP-22-00294,GCRB
348,28,GC-CC-NP-221104-007,Marvel’s Spider-Man: Miles Morales (마블스 스파이더맨: 마일즈 모랄레스) ＜PC＞,(주)소니인터랙티브엔터테인먼트코리아,2022-10-21,2022-11-04,15세 이용가,GC-DG-NP-22-00296,GCRB
349,29,GC-CC-NP-221104-008,블루프로토콜(BLUE PROTOCOL),(주)스마일게이트 메가포트,2022-10-21,2022-11-04,15세 이용가,GC-DG-NP-22-00295,GCRB
350,30,GC-CC-NP-221104-009,삼국지 서바이버즈(Survivors: Three Kingdoms),(주) 티쓰리엔터테인먼트,2022-10-21,2022-11-04,12세 이용가,GC-DG-NP-22-00297,GCRB
351,31,GC-CC-NP-221104-010,트리 오브 세이비어 M,(주)아이엠씨게임즈,2022-10-26,2022-11-04,15세 이용가,GC-DG-NP-22-00299,GCRB
352,32,GC-CC-NP-221104-011,LAPIN,스튜디오 두달,2022-10-31,2022-11-04,전체이용가,GC-DG-NP-22-00300,GCRB
353,33,GC-CC-NV-221104-001,나이츠 인 더 나이트메어,아크시스템웍스주식회사 아시아지점,2022-10-11,2022-11-04,12세 이용가,GC-DG-NV-22-00069,GCRB
354,34,GC-CC-NV-221104-002,[Switch] 루프 에이트(LOOP8),주식회사 세가퍼블리싱코리아,2022-10-19,2022-11-04,12세 이용가,GC-DG-NV-22-00070,GCRB
355,35,GC-CC-NV-221104-003,Swoon! Earth Escape (스운! 어스 이스케이프),게임피아,2022-10-31,2022-11-04,전체이용가,GC-DG-NV-22-00071,GCRB
356,36,CC-OM-221110-001,범: 낭만의 시대,주식회사 엔드나인게임즈,2022-10-28,2022-11-10,청소년이용불가,DG-OM-22-00204,GRAC
357,37,CC-OV-221110-001,LOST EPIC,One or Eight INC.,2022-10-25,2022-11-10,15세 이용가,DG-OV-22-00025,GRAC
358,38,CC-NA-221110-001,PlaySingledance(플레이싱글댄스),주식회사퍼니랜드,2022-09-29,2022-11-10,전체이용가,DG-NA-22-00080,GRAC
359,39,CC-NA-221110-002,PlayCircledance(플레이서클댄스),주식회사퍼니랜드,2022-09-29,2022-11-10,전체이용가,DG-NA-22-00081,GRAC
360,40,CC-NP-221110-001,2WIN GAMES SLOTS(투윈게임즈 슬롯),(주)유시스트,2022-08-09,2022-11-10,청소년이용불가,DG-NP-22-00195,GRAC
361,41,CC-NP-221110-002,스포빌리(SPObilli),주식회사게임브레드,2022-09-22,2022-11-10,청소년이용불가,DG-NP-22-00235,GRAC
362,42,CC-NP-221110-003,Dead Island 2 (데드 아일랜드 2),(주)에이치투인터렉티브,2022-10-27,2022-11-10,청소년이용불가,DG-NP-22-00261,GRAC
363,43,CC-OM-221117-001,보나스포츠 모바일,에스엠소프트,2022-09-23,2022-11-17,청소년이용불가,DG-OM-22-00169,GRAC
364,44,CC-OM-221117-002,오광더블,주식회사 아케이드박스,2022-09-22,2022-11-17,청소년이용불가,DG-OM-22-00164,GRAC
365,45,CC-OM-221117-003,에이스통 모바일,에스엠소프트,2022-09-23,2022-11-17,청소년이용불가,DG-OM-22-00170,GRAC
366,46,CC-OM-221117-004,스포츠게이트 모바일,에스엠소프트,2022-09-23,2022-11-17,청소년이용불가,DG-OM-22-00171,GRAC
367,47,CC-OM-221117-005,Into the Dead 2: Unleashed,Netflix Inc,2022-10-24,2022-11-17,청소년이용불가,DG-OM-22-00200,GRAC
368,48,CC-OM-221117-006,AA 맞고M(AA MatgoM),칼리포스,2022-10-07,2022-11-17,청소년이용불가,DG-OM-22-00179,GRAC
369,49,CC-OM-221117-007,AA 바둑이M(AA BadukiM),칼리포스,2022-10-07,2022-11-17,청소년이용불가,DG-OM-22-00180,GRAC
370,50,CC-OM-221117-008,시드포커,주식회사 위드와이드,2022-10-14,2022-11-17,청소년이용불가,DG-OM-22-00188,GRAC
371,51,CC-OM-221117-009,피망 고스톱 : 카카오맞고 대표 고스톱,주식회사 네오위즈,2022-10-24,2022-11-17,청소년이용불가,DG-OM-22-00196,GRAC
372,52,CC-OM-221117-010,피망 고스톱 : 대한민국 1등 고스톱,주식회사 네오위즈,2022-10-24,2022-11-17,청소년이용불가,DG-OM-22-00198,GRAC
373,53,CC-OM-221117-011,피망 맞고 : 카카오맞고 대표 고스톱,주식회사 네오위즈,2022-10-24,2022-11-17,청소년이용불가,DG-OM-22-00197,GRAC
374,54,CC-OM-221117-012,피망 맞고 : 대한민국 1등 고스톱,주식회사 네오위즈,2022-10-24,2022-11-17,청소년이용불가,DG-OM-22-00199,GRAC
375,55,CC-OP-221117-001,와작와작 대작전,KAKU DIGITAL LIMITED,2022-11-10,2022-11-17,전체이용가,DG-OP-22-00044,GRAC
376,56,CC-NA-221117-001,위자드포커(Wizard Poker),주식회사 바로전자,2021-07-22,2022-11-17,청소년이용불가,DG-NA-21-00137,GRAC
377,57,CC-NA-221117-002,WaterPark(워터파크),신창어뮤즈먼트,2022-09-20,2022-11-17,전체이용가,DG-NA-22-00075,GRAC
378,58,CC-NA-221117-003,THE WALKING DEAD Ver.01.14 (더 워킹데드 Ver.01.14),(주)유니아나,2022-10-25,2022-11-17,전체이용가,DG-NA-22-00087,GRAC
379,59,CC-NP-221117-001,CUCKOLD SIMULATOR: Life as a Beta Male Cuck (뻐꾸기남 시뮬레이터),스마일게이트스토브,2022-10-26,2022-11-17,청소년이용불가,DG-NP-22-00260,GRAC
380,60,CC-NP-221117-002,레드블랙 월드 : RedBlack World,(주식회사)위드블랙,2022-10-31,2022-11-17,청소년이용불가,DG-NP-22-00263,GRAC
381,61,CC-NP-221117-003,제천대성(薺天大聖)CD,가나시스템,2022-11-10,2022-11-17,청소년이용불가,DG-NP-22-00270,GRAC
382,62,CC-NP-221117-004,Furies ＆ Magazines (퓨리스 앤 매거진스),스마일게이트스토브,2022-11-10,2022-11-17,청소년이용불가,DG-NP-22-00273,GRAC
383,63,GC-CC-NP-221118-001,마그넷 프렌즈,(주)휴먼웍스,2022-11-03,2022-11-18,전체이용가,GC-DG-NP-22-00306,GCRB
384,64,GC-CC-NP-221118-002,STREET FIGHTER 6 (스트리트 파이터 6),게임피아,2022-10-24,2022-11-18,15세 이용가,GC-DG-NP-22-00298,GCRB
385,65,GC-CC-NP-221118-003,EA Sports PGA Tour (이에이 스포츠 피지에이 투어),일렉트로닉아츠코리아 (유),2022-11-04,2022-11-18,전체이용가,GC-DG-NP-22-00307,GCRB
386,66,GC-CC-NP-221118-004,Skiing VR (스키 VR),(주)스마일게이트스토브,2022-11-01,2022-11-18,전체이용가,GC-DG-NP-22-00303,GCRB
387,67,GC-CC-NP-221118-005,SOUND VOLTEX EXCEED GEAR (사운드 볼텍스 익시드 기어),(주)유니아나,2022-11-01,2022-11-18,15세 이용가,GC-DG-NP-22-00304,GCRB
388,68,GC-CC-NP-221118-006,AKAIKATANA SHIN (아카이카타나 진),(주) 에이치투인터렉티브,2022-11-03,2022-11-18,12세 이용가,GC-DG-NP-22-00305,GCRB
389,69,GC-CC-NP-221118-007,아름담다,주식회사 아름담다,2022-11-11,2022-11-18,전체이용가,GC-DG-NP-22-00310,GCRB
390,70,GC-CC-NP-221118-008,Ib(이브),주식회사 블루닷네트웍스,2022-11-07,2022-11-18,12세 이용가,GC-DG-NP-22-00308,GCRB
391,71,GC-CC-NV-221118-001,Ace Angler 낚시 스피릿 파닥파닥 즐거운 수족관,반다이남코 엔터테인먼트 코리아(주),2022-10-31,2022-11-18,전체이용가,GC-DG-NV-22-00072,GCRB
392,72,GC-CC-NV-221118-002,젤다의 전설 티어스 오브 더 킹덤,한국닌텐도주식회사,2022-11-03,2022-11-18,12세 이용가,GC-DG-NV-22-00073,GCRB
393,73,GC-CC-NV-221118-003,[Switch] 룬 팩토리 3 스페셜(Rune Factory 3 Special),주식회사 세가퍼블리싱코리아,2022-11-03,2022-11-18,전체이용가,GC-DG-NV-22-00074,GCRB
394,74,CC-OM-221124-001,슈퍼윈포커_홀덤토너먼트,(주)넥스넷,2022-11-07,2022-11-24,청소년이용불가,DG-OM-22-00206,GRAC
395,75,CC-OM-221124-002,Heaven Burns Red(헤븐 번즈 레드),피티더블유코리아 주식회사,2022-11-14,2022-11-24,12세 이용가,DG-OM-22-00209,GRAC
396,76,CC-OP-221124-001,뛰어요 찹살묘찌,KAKU DIGITAL LIMITED,2022-11-17,2022-11-24,전체이용가,DG-OP-22-00045,GRAC
397,77,CC-OV-221124-001,도라에몽　도라Think 진구의 두근두근 두뇌 어드벤처」,"SHOGAKUKAN, INC.",2022-11-17,2022-11-24,전체이용가,DG-OV-22-00026,GRAC
398,78,CC-NA-221124-001,Catch(캐치),주식회사 더보리,2022-11-03,2022-11-24,전체이용가,DG-NA-22-00089,GRAC
399,79,CC-NA-221124-002,Catch(캐치)2,주식회사 더보리,2022-11-03,2022-11-24,전체이용가,DG-NA-22-00090,GRAC
400,80,CC-NA-221124-003,Surprised(서프라이즈),제이엠케이테크,2022-11-10,2022-11-24,전체이용가,DG-NA-22-00092,GRAC
401,81,CC-NP-221124-001,AA 맞고(AA Matgo),칼리포스,2022-10-05,2022-11-24,청소년이용불가,DG-NP-22-00246,GRAC
402,82,CC-NP-221124-002,AA 바둑이(AA Baduki),칼리포스,2022-10-05,2022-11-24,청소년이용불가,DG-NP-22-00247,GRAC
403,83,CC-NP-221124-003,AA 포커(AA Poker),칼리포스,2022-10-05,2022-11-24,청소년이용불가,DG-NP-22-00248,GRAC
404,84,CC-NP-221124-004,AA 홀덤(AA Holdem),칼리포스,2022-10-05,2022-11-24,청소년이용불가,DG-NP-22-00249,GRAC
405,85,CC-NP-221124-005,백송(白松),신화전자,2022-10-24,2022-11-24,청소년이용불가,DG-NP-22-00259,GRAC
406,86,CC-NP-221124-006,러브인 로그인,스마일게이트스토브,2022-11-10,2022-11-24,청소년이용불가,DG-NP-22-00271,GRAC
407,87,CC-NP-221124-007,Your Blight (유어 블라이트),스마일게이트스토브,2022-11-10,2022-11-24,청소년이용불가,DG-NP-22-00272,GRAC
408,88,CC-NP-221124-008,뉴 타타맞고 ,(주)컴투스타이젬,2022-11-11,2022-11-24,청소년이용불가,DG-NP-22-00274,GRAC
409,89,CC-NP-221124-009,Wo Long: Fallen Dynasty (워롱: 폴른 다이내스티),(주)디지털터치,2022-11-15,2022-11-24,청소년이용불가,DG-NP-22-00280,GRAC
410,90,CC-NP-221124-010,"샾게임 홀덤 (#게임 홀덤, SHARP GAME HOLDEM, #GAME HOLDEM)",주식회사 레브게임즈,2022-11-14,2022-11-24,청소년이용불가,DG-NP-22-00277,GRAC
411,91,CC-NP-221124-011,"샾게임 포커 (#게임 포커, SHARP GAME POKER, #GAME POKER)",주식회사 레브게임즈,2022-11-14,2022-11-24,청소년이용불가,DG-NP-22-00278,GRAC
412,92,CC-NP-221124-012,"샾게임 바둑이 (#게임 바둑이, SHARP GAME BADUGI, #GAME BADUGI)",주식회사 레브게임즈,2022-11-14,2022-11-24,청소년이용불가,DG-NP-22-00279,GRAC
413,93,CC-NV-221124-001,데드크래프트 (DEADCRAFT),아크시스템웍스주식회사 아시아지점,2022-11-15,2022-11-24,청소년이용불가,DG-NV-22-00033,GRAC
414,94,CC-NV-221124-002,Splatter - Zombiecalypse Now (스플래터 - 좀비칼립스 나우) ,(주)디지털터치,2022-11-17,2022-11-24,청소년이용불가,DG-NV-22-00035,GRAC
415,95,,메가스핀 (MEGASPIN),플라이소프트,2022-07-08,2022-11-10,등급거부,DS-OM-22-00029,GRAC
416,96,,아트휠 - 마호,,2022-11-08,2022-11-10,등급거부,DG-NP-22-00264,GRAC
417,97,,타이거워리어(TheTigerWarrior),에이치피(HP)엔터테인먼트,2022-09-23,2022-11-10,등급거부,DS-OM-22-00030,GRAC
418,98,,파스타 맞고 (Pasta Matgo),애저소프트,2022-08-31,2022-11-10,등급거부,DG-NP-22-00217,GRAC
419,99,,파스타 바둑이 (Pasta Baduki),애저소프트,2022-08-31,2022-11-10,등급거부,DG-NP-22-00218,GRAC
420,100,,파스타 홀덤(Pasta Holdem),애저소프트,2022-08-31,2022-11-10,등급거부,DG-NP-22-00220,GRAC
421,101,,파스타 홀덤바둑이 (Pasta HoldemBaduki),애저소프트,2022-08-31,2022-11-10,등급거부,DG-NP-22-00219,GRAC
422,102,,KBL Fantasy (케이비엘 판타지),(사)케이비엘,2022-10-13,2022-11-17,등급거부,DS-NP-22-00024,GRAC
423,103,,Sabbat of the Witch (사노바위치),스마일게이트스토브,2022-09-14,2022-11-17,등급거부,DS-NP-22-00026,GRAC
424,1,CC-NA-221006-001,도깨비포커(Dokkaebi Poker),원소프트,2022-07-26,2022-10-06,청소년이용불가,DG-NA-22-00063,GRAC
425,2,CC-NA-221006-002,NewMiniToy(뉴미니토이),지앤지어뮤즈먼트(G＆G),2022-09-14,2022-10-06,전체이용가,DG-NA-22-00071,GRAC
426,3,CC-NA-221006-003,GOOD＆FUNNY(굿앤퍼니),신창어뮤즈먼트,2022-09-20,2022-10-06,전체이용가,DG-NA-22-00073,GRAC
427,4,CC-NA-221006-004,MINI BABY(미니베이비),신창어뮤즈먼트,2022-09-20,2022-10-06,전체이용가,DG-NA-22-00074,GRAC
428,5,CC-NA-221006-005,Mini Boutique(미니 부티끄 크레인),탑유통,2022-09-23,2022-10-06,전체이용가,DG-NA-22-00076,GRAC
429,6,CC-NP-221006-001,와백경(WahBaekGyeong),보라미디어,2022-09-22,2022-10-06,청소년이용불가,DG-NP-22-00233,GRAC
430,7,CC-NP-221006-002,아키에이지 워,(주)카카오게임즈,2022-09-23,2022-10-06,청소년이용불가,DG-NP-22-00236,GRAC
431,8,CC-OM-221006-001,돌핀 스토리(Dolphin Story),,2022-09-06,2022-10-06,청소년이용불가,DG-OM-22-00155,GRAC
432,9,CC-OM-221006-002,홀덤라이브_바카라(Holdem Live_Baccarat),주식회사 스포피드,2022-09-15,2022-10-06,청소년이용불가,DG-OM-22-00159,GRAC
433,10,CC-OP-221006-001,클릭클릭 농장,KAKU DIGITAL LIMITED,2022-09-23,2022-10-06,전체이용가,DG-OP-22-00037,GRAC
434,11,GC-CC-NP-221007-001,Need for Speed™ Unbound (니드포스피드 언바운드),일렉트로닉아츠코리아 (유),2022-09-20,2022-10-07,12세 이용가,GC-DG-NP-22-00266,GCRB
435,12,GC-CC-NP-221007-002,가데스판타지,봄날소프트,2022-09-20,2022-10-07,12세 이용가,GC-DG-NP-22-00265,GCRB
436,13,GC-CC-NP-221007-003,아크레티아 전기,오자크 주식회사,2022-09-22,2022-10-07,15세 이용가,GC-DG-NP-22-00267,GCRB
437,14,GC-CC-NP-221007-004,트라하 글로벌,주식회사 모아이게임즈,2022-09-23,2022-10-07,12세 이용가,GC-DG-NP-22-00271,GCRB
438,15,GC-CC-NP-221007-005,Aka(아카),주식회사 네오위즈,2022-09-23,2022-10-07,전체이용가,GC-DG-NP-22-00268,GCRB
439,16,GC-CC-NP-221007-006,Victoria 3 (빅토리아 3),(주) 에이치투인터렉티브,2022-09-23,2022-10-07,12세 이용가,GC-DG-NP-22-00270,GCRB
440,17,GC-CC-NP-221007-007,[PC] 풋볼 매니저 2023,주식회사 세가퍼블리싱코리아,2022-09-23,2022-10-07,전체이용가,GC-DG-NP-22-00269,GCRB
441,18,GC-CC-NP-221007-008,갈리런,(주)휴먼웍스,2022-09-27,2022-10-07,전체이용가,GC-DG-NP-22-00273,GCRB
442,19,GC-CC-NP-221007-009,Return to Monkey Island (원숭이 섬으로의 귀환),바다게임즈,2022-09-26,2022-10-07,전체이용가,GC-DG-NP-22-00272,GCRB
443,20,GC-CC-NP-221007-010,Blackout Protocol(블랙아웃 프로토콜),주식회사 오션드라이브스튜디오,2022-09-28,2022-10-07,15세 이용가,GC-DG-NP-22-00274,GCRB
444,21,GC-CC-NP-221007-011,Kamiwaza: Way of the Thief (신업: 도둑의 길),(주) 에이치투인터렉티브,2022-10-06,2022-10-07,12세 이용가,GC-DG-NP-22-00275,GCRB
445,22,GC-CC-NV-221007-001,성탑신기 트리니티 트리거,아크시스템웍스주식회사 아시아지점,2022-09-14,2022-10-07,12세 이용가,GC-DG-NV-22-00061,GCRB
446,23,GC-CC-NV-221007-002,[Switch] 풋볼 매니저 2023 터치,주식회사 세가퍼블리싱코리아,2022-09-23,2022-10-07,전체이용가,GC-DG-NV-22-00065,GCRB
447,24,GC-CC-NV-221007-003,폴른 레기온 - 영광의 계보,게임피아,2022-09-28,2022-10-07,12세 이용가,GC-DG-NV-22-00066,GCRB
448,25,CC-NA-221013-001,Tusin Poker(투신 포커),다온시스템,2022-08-16,2022-10-13,청소년이용불가,DG-NA-22-00068,GRAC
449,26,CC-NP-221013-001,아레스 : 라이즈 오브 가디언즈,(주)카카오게임즈,2022-09-20,2022-10-13,청소년이용불가,DG-NP-22-00230,GRAC
450,27,CC-NP-221013-002,용의신CD,가나시스템,2022-09-20,2022-10-13,청소년이용불가,DG-NP-22-00231,GRAC
451,28,CC-NP-221013-003,Warbox Sandbox (워박스 샌드박스),스마일게이트스토브,2022-09-26,2022-10-13,청소년이용불가,DG-NP-22-00237,GRAC
452,29,CC-NP-221013-004,Hunt the Night (헌트 더 나이트),스마일게이트스토브,2022-10-04,2022-10-13,청소년이용불가,DG-NP-22-00245,GRAC
453,30,CC-NP-221013-005,[PC] 용과 같이 유신! 극,주식회사 세가퍼블리싱코리아,2022-09-30,2022-10-13,청소년이용불가,DG-NP-22-00244,GRAC
454,31,CC-OM-221013-001,Game of Khans,"Clicktouch Co., Ltd.",2022-09-22,2022-10-13,15세 이용가,DG-OM-22-00162,GRAC
455,32,CC-OM-221013-002,골드윙 카지노_슬롯,(주)모카트리,2022-10-04,2022-10-13,청소년이용불가,DG-OM-22-00178,GRAC
456,33,CC-OP-221013-001,마블스냅,Nuverse (Hong Kong) Limited,2022-09-23,2022-10-13,12세 이용가,DG-OP-22-00038,GRAC
457,34,CC-OM-221020-001,SCORE888 (스코어 888),(주)유시스트,2022-09-05,2022-10-20,청소년이용불가,DG-OM-22-00152,GRAC
458,35,CC-OM-221020-002,moagame_M(모아게임_M),(AK)소프트,2022-09-22,2022-10-20,청소년이용불가,DG-OM-22-00163,GRAC
459,36,CC-OM-221020-003,Aero Tales Online: The World,,2022-09-27,2022-10-20,12세 이용가,DG-OM-22-00173,GRAC
460,37,CC-OM-221020-004,한게임 오목M,엔에이치엔 주식회사,2022-10-14,2022-10-20,청소년이용불가,DG-OM-22-00187,GRAC
461,38,CC-OP-221020-001,The Chant,Koch Media GmbH,2022-09-06,2022-10-20,청소년이용불가,DG-OP-22-00035,GRAC
462,39,CC-OV-221020-001,SIGNALIS,Active Gaming Media Inc.,2022-10-14,2022-10-20,청소년이용불가,DG-OV-22-00023,GRAC
463,40,CC-OV-221020-002,The Walking Dead: Saints ＆ Sinners - Chapter 2: Retribution,Skydance Interactive,2022-10-11,2022-10-20,청소년이용불가,DG-OV-22-00022,GRAC
464,41,CC-NA-221020-001,잉어킹,원엔터,2022-07-07,2022-10-20,청소년이용불가,DG-NA-22-00057,GRAC
465,42,CC-NA-221020-002,바다신2,진소프트,2022-09-27,2022-10-20,전체이용가,DG-NA-22-00079,GRAC
466,43,CC-NP-221020-001,moagame(모아게임),(AK)소프트,2022-09-22,2022-10-20,청소년이용불가,DG-NP-22-00234,GRAC
467,44,CC-NP-221020-002,명장관우(名將關羽)CD,라온소프트,2022-09-29,2022-10-20,청소년이용불가,DG-NP-22-00242,GRAC
468,45,CC-NP-221020-003,한게임 오목,엔에이치엔 주식회사,2022-09-29,2022-10-20,청소년이용불가,DG-NP-22-00243,GRAC
469,46,GC-CC-NP-221021-001,한게임 오목-일반,엔에이치엔 주식회사,2022-10-07,2022-10-21,전체이용가,GC-DG-NP-22-00278,GCRB
470,47,GC-CC-NP-221021-002,Rabbids Party of Legends (래비드 서유기: 광란의 파티) PC,유비소프트엔터테인먼트,2022-10-06,2022-10-21,전체이용가,GC-DG-NP-22-00276,GCRB
471,48,GC-CC-NP-221021-003,SuperPower 3 (슈퍼파워 3),(주) 에이치투인터렉티브,2022-10-07,2022-10-21,12세 이용가,GC-DG-NP-22-00280,GCRB
472,49,GC-CC-NP-221021-004,Ninja Issen (닌자일섬),(주)씨에프케이,2022-10-06,2022-10-21,15세 이용가,GC-DG-NP-22-00277,GCRB
473,50,GC-CC-NP-221021-005,OCTOPATH TRAVELER II (옥토패스 트래블러 II),반다이남코 엔터테인먼트 코리아(주),2022-10-07,2022-10-21,12세 이용가,GC-DG-NP-22-00279,GCRB
474,51,GC-CC-NP-221021-006,호그와트 레거시 (Hogwarts Legacy)(PC),인플레이인터렉티브,2022-10-11,2022-10-21,12세 이용가,GC-DG-NP-22-00281,GCRB
475,52,GC-CC-NP-221021-007,하이프스쿼드,넷마블 주식회사,2022-10-13,2022-10-21,12세 이용가,GC-DG-NP-22-00286,GCRB
476,53,GC-CC-NP-221021-008,레인보우 블라스트,(주)모비소프트,2022-10-12,2022-10-21,전체이용가,GC-DG-NP-22-00282,GCRB
477,54,GC-CC-NP-221021-009,스택폴,(주)모비소프트,2022-10-12,2022-10-21,전체이용가,GC-DG-NP-22-00283,GCRB
478,55,GC-CC-NP-221021-010,퓨전팝,(주)모비소프트,2022-10-12,2022-10-21,전체이용가,GC-DG-NP-22-00284,GCRB
479,56,GC-CC-NP-221021-011,플레인 2048,(주)모비소프트,2022-10-12,2022-10-21,전체이용가,GC-DG-NP-22-00285,GCRB
480,57,GC-CC-NP-221021-012,-Dysterra(디스테라),(주)카카오게임즈,2022-10-13,2022-10-21,15세 이용가,GC-DG-NP-22-00288,GCRB
481,58,GC-CC-NP-221021-013,YOMAWARI: Series Deluxe Edition (요마와리: 시리즈 디럭스 에디션),(주) 에이치투인터렉티브,2022-10-17,2022-10-21,15세 이용가,GC-DG-NP-22-00292,GCRB
482,59,GC-CC-NV-221021-001,멍냥 동물 병원 - 반려동물 건강 지킴이! - ,대원미디어(주),2022-10-04,2022-10-21,전체이용가,GC-DG-NV-22-00067,GCRB
483,60,GC-CC-NV-221021-002,올인원 썸머 스포츠 VR,(주)앱노리,2022-10-06,2022-10-21,전체이용가,GC-DG-NV-22-00068,GCRB
484,61,CC-NP-221027-001,키스게임맞고(KISS GAME MATGO),키스(Kiss),2022-09-28,2022-10-27,청소년이용불가,DG-NP-22-00239,GRAC
485,62,CC-NP-221027-002,키스게임바둑이(KISS GAME BADUGI),키스(Kiss),2022-09-28,2022-10-27,청소년이용불가,DG-NP-22-00240,GRAC
486,63,CC-NP-221027-003,키스게임홀덤(KISS GAME HOLDEM),키스(Kiss),2022-09-28,2022-10-27,청소년이용불가,DG-NP-22-00241,GRAC
487,64,CC-OM-221027-001,페이트/그랜드 오더,넷마블 주식회사,2022-09-29,2022-10-27,15세 이용가,DG-OM-22-00174,GRAC
488,65,CC-OM-221027-002,MeChat - 러브 시크릿,Imponilox Limited,2022-10-12,2022-10-27,청소년이용불가,DG-OM-22-00182,GRAC
489,66,CC-OP-221027-001,Lost Light,NetEase Interactive Entertainment Pte. Ltd.,2022-09-27,2022-10-27,청소년이용불가,DG-OP-22-00039,GRAC
490,67,CC-OP-221027-002,Amnesia: Collection (암네시아: 컬렉션) (PC),Frictional Games AB,2022-10-05,2022-10-27,청소년이용불가,DG-OP-22-00040,GRAC
491,68,CC-OP-221027-003,붕괴: 스타레일,COGNOSPHERE PTE. LTD.,2022-10-11,2022-10-27,12세 이용가,DG-OP-22-00041,GRAC
